Z-XX-A-m;n;p;Svyazey;X;Y;Z;centrX;centrY;centrZ;Centrobeg;He4;He3;H3;H2;p;n;n1;n2;n3;n4;n5;n6;p1;p2;p3;p4;p5;p6;Binding
0-n-1;1;0;0;0;0;0;5;5;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1-H-1;0;1;0;0;0;0;6;5;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1-H-2;1;1;1;1;0;0;5,5;5;2;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2,225
1-H-3;2;1;2;2;0;0;6;5;2;2;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;8,482
1-H-4;3;1;3;2;1;0;6;4,75;2;3,061552813;0;0;1;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;5,604
1-H-5;4;1;4;2;2;0;6;5;2;4;0;0;1;0;0;2;4;0;0;0;0;0;0;0;0;1;0;0;6,685
1-H-6;5;1;5;2;2;1;6;5;1,833333333;4;0;0;1;0;0;3;5;0;0;0;0;0;0;0;0;0;1;0;5,747
1-H-7;6;1;6;2;2;2;6;5;2;4;0;0;1;0;0;4;6;0;0;0;0;0;0;0;0;0;0;1;6,618
2-He-3;1;2;2;1;1;0;5,333333333;5,333333333;2;1,962116506;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;7,719
2-He-4;2;2;4;2;2;0;5,5;5,5;2;2,828427125;1;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;28,296
2-He-5;3;2;5;2;2;1;5,6;5,4;1,8;3,422119498;1;0;0;0;0;1;1;2;0;0;0;0;0;1;1;0;0;0;27,403
2-He-6;4;2;6;2;2;2;5,5;5,5;1,666666667;4,242640687;1;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;29,269
2-He-7;5;2;7;2;3;2;5,571428571;5,285714286;1,714285714;5,686753122;1;0;0;0;0;3;3;2;0;0;0;0;0;0;1;1;0;0;28,835
2-He-8;6;2;8;2;4;2;5,5;5,5;1,75;7,404918347;1;0;0;0;0;4;4;2;0;0;0;0;0;0;0;2;0;0;31,409
2-He-9;7;2;9;3;4;2;5,333333333;5,555555556;1,777777778;8,87609719;1;0;0;0;0;5;5;2;0;0;0;0;0;0;0;1;1;0;30,139
2-He-10;8;2;10;4;4;2;5,5;5,5;1,8;10,56719601;1;0;0;0;0;6;6;2;0;0;0;0;0;0;0;0;2;0;30,34
3-Li-3;0;3;0;0;0;0;5,333333333;5,333333333;2,333333333;1,962116506;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;-6,833
3-Li-4;1;3;2;1;0;1;5,5;5,25;2,5;2,578438802;0;0;0;1;2;0;0;1;0;0;0;0;2;0;0;0;0;0;4,619
3-Li-5;2;3;5;2;1;2;5,4;5,2;2,4;3,053765446;0;1;0;1;0;0;0;1;1;0;0;0;1;2;0;0;0;0;26,33
3-Li-6;3;3;7;3;2;2;5,5;5,333333333;2,333333333;4,070367517;1;0;0;1;0;0;0;2;1;0;0;0;0;2;1;0;0;0;31,995
3-Li-7;4;3;9;3;3;3;5,428571429;5,428571429;2,428571429;4,877447946;1;0;1;0;0;0;0;3;1;0;0;0;0;0;3;0;0;0;39,245
3-Li-8;5;3;10;3;3;4;5,5;5,375;2,25;5,526171589;1;0;1;0;0;1;1;3;1;0;0;0;0;0;2;1;0;0;41,278
3-Li-8-m 0,981 MeV;5;3;10;3;3;4;5,375;5,5;2,25;5,526171589;1;0;1;0;0;1;1;3;1;0;0;0;0;0;2;1;0;0;40,297
