,Z-XX-A-m,Binding,Predicted
0,0-n-1,1.7825748e-08,72.73280157084764
1,1-H-1,1.7825748e-08,39.814067448455845
2,1-H-2,2.225,50.3946140355207
3,1-H-3,8.482,41.508770563662054
4,1-H-4,5.6040006,44.71371266987548
5,1-H-5,6.685,42.70399497915805
6,1-H-6,5.747,42.62786593598873
7,1-H-7,6.6179996,44.081918162424124
8,2-He-3,7.719,51.493157846942545
9,2-He-4,28.296,50.5449817844443
10,2-He-5,27.402998,48.64969980914146
11,2-He-6,29.269,50.04551870735735
12,2-He-7,28.835,52.683508003979924
13,2-He-8,31.408998,52.72111165817827
14,2-He-9,30.139,59.71823465650529
15,2-He-10,30.34,55.853377320963894
16,3-Li-3,-6.833,58.36953359005601
17,3-Li-4,4.619,53.3586865362376
18,3-Li-5,26.330002,64.7268398638852
19,3-Li-6,31.994999,61.45114289690555
20,3-Li-7,39.245003,66.67952716837452
21,3-Li-8,41.278,64.09516252610833
22,3-Li-8,40.297,66.95532114817948
23,3-Li-9,45.342,64.94944662278519
24,3-Li-10,45.318,67.97927474482358
25,3-Li-11,45.642002,67.7116513969861
26,3-Li-12,44.411,74.99779292571172
27,4-Be-5,-0.7720002,51.38366669179127
28,4-Be-6,26.924002,59.68090439821408
29,4-Be-7,37.601,72.45203178553284
30,4-Be-8,56.5,68.52969881900027
31,4-Be-9,58.167004,66.90429766059667
32,4-Be-10,64.979,68.27494851273299
33,4-Be-10,61.611,66.44161804998666
34,4-Be-10,58.8,75.40882414380835
35,4-Be-11,65.483,71.87893928499892
36,4-Be-12,68.651,72.02854933669418
37,4-Be-13,68.55,79.77062150277943
38,4-Be-14,69.921005,75.3556213002801
39,4-Be-15,68.143,84.3914810120389
40,4-Be-16,68.313995,80.68369353080169
41,5-B-6,0.9170002,48.65650346157328
42,5-B-7,24.718,63.74803564847633
43,5-B-8,37.738,77.50031845600532
44,5-B-9,56.315998,93.76935900362209
45,5-B-10,64.753,88.11011840513349
46,5-B-11,76.206,91.10644381158055
47,5-B-12,79.577,88.90613792834432
48,5-B-13,84.455,89.81884282471985
49,5-B-14,85.426,89.19774200289325
50,5-B-15,88.187996,97.73224048883841
51,5-B-16,88.152,92.06755540614203
52,5-B-17,89.533005,87.7174203354381
53,5-B-18,89.075005,99.82329736758396
54,5-B-19,90.046005,94.04571539786458
55,6-C-8,24.783,62.55358455283195
56,6-C-9,39.039,74.55821136359872
57,6-C-10,60.322002,73.43489007167891
58,6-C-10,56.968002,80.08885433868319
59,6-C-11,73.441,88.40174591361732
60,6-C-12,92.163,86.45519048875943
61,6-C-13,97.11,91.98031086651982
62,6-C-14,105.285995,93.03694699103386
63,6-C-15,106.505,92.93532963800803
64,6-C-16,110.755005,95.43786297961326
65,6-C-17,111.483,104.169456480667
66,6-C-18,115.661995,99.75740114265308
67,6-C-19,116.244,112.92626489567012
68,6-C-20,119.175,107.04009788294883
69,6-C-21,118.80701,107.43069470981509
70,6-C-22,119.579,113.87283963928373
71,7-N-10,36.438,84.98721069368348
72,7-N-11,58.689,80.118224870421
73,7-N-12,74.043,101.88309337717668
74,7-N-13,94.107,124.27253873943539
75,7-N-14,104.660995,120.66307223771513
76,7-N-14,96.171005,130.2631898565516
77,7-N-14,95.69701,122.56268167966232
78,7-N-14,95.532,134.8214338917658
79,7-N-15,115.493996,127.15105394384267
80,7-N-16,117.983,127.11399708145856
81,7-N-17,123.867,138.28392275381088
82,7-N-18,126.695,151.74265647019448
83,7-N-19,132.019,150.64187081233413
84,7-N-20,134.183,152.0517188262418
85,7-N-21,138.77501,145.80168529506028
86,7-N-22,140.056,138.35648983887583
87,7-N-23,141.768,138.68061240375042
88,7-N-24,140.739,148.99643363959342
89,7-N-25,139.811,147.62643893763425
90,8-O-12,58.55,81.62299594328553
91,8-O-13,75.558,97.1289572688453
92,8-O-14,98.734,91.45880426800625
93,8-O-15,111.958,110.83620005350188
94,8-O-16,127.620995,111.23266317540408
95,8-O-17,131.765,118.59790204571934
96,8-O-18,139.808,120.16731172234194
97,8-O-19,143.76399,131.26222536908836
98,8-O-20,151.373,127.22893272081762
99,8-O-21,155.17899,133.68527861483395
100,8-O-22,162.034,148.27774610154333
101,8-O-23,164.77501,149.0673915944621
102,8-O-24,168.387,152.25059482040257
103,8-O-25,168.128,163.16257536002993
104,8-O-26,167.9,161.76906861005725
105,8-O-27,166.67099,178.83564407534152
106,8-O-28,165.843,171.18283957859128
107,9-F-14,73.259,126.49670036839694
108,9-F-15,97.25,119.59157118716465
109,9-F-16,111.422005,121.84979013484346
110,9-F-17,128.222,145.48631139921397
111,9-F-18,137.372,146.41856019729377
112,9-F-18,137.372,153.02985126885028
113,9-F-18,137.372,146.5216070203483
114,9-F-18,137.372,159.22914251966776
115,9-F-18,137.372,140.45432693611832
116,9-F-19,147.80301,154.26560076909513
117,9-F-19,143.12,148.0658095943332
118,9-F-19,142.696,160.0791069610119
119,9-F-19,142.466,142.327916899018
120,9-F-19,142.33899,157.11135533251615
121,9-F-19,142.182,145.4849209857434
122,9-F-20,154.405,156.25750085797907
123,9-F-21,162.507,170.76401267148555
