,Z-XX-A-m,Binding,Predicted
0,0-n-1,1.7825747116301077e-08,72.73280157084763
1,1-H-1,1.7825747116301077e-08,39.814067448455845
2,1-H-2,2.2249998981668617,50.39461403552071
3,1-H-3,8.482000142910518,41.508770563662054
4,1-H-4,5.604000485070982,44.71371266987548
5,1-H-5,6.685000090566464,42.70399497915805
6,1-H-6,5.747000214297325,42.62786593598873
7,1-H-7,6.617999541453552,44.081918162424124
8,2-He-3,7.719000010383782,51.49315784694255
9,2-He-4,28.295999427959327,50.54498178444431
10,2-He-5,27.402998565176507,48.64969980914146
11,2-He-6,29.26899983882532,50.04551870735735
12,2-He-7,28.83499945887365,52.68350800397993
13,2-He-8,31.408998490603643,52.72111165817827
14,2-He-9,30.139000294506555,59.718234656505295
15,2-He-10,30.340000965431337,55.853377320963894
16,3-Li-3,-6.833,58.36953359005601
17,3-Li-4,4.618999946709723,53.358686536237606
18,3-Li-5,26.330001648448413,64.7268398638852
19,3-Li-6,31.994999183610087,61.45114289690555
20,3-Li-7,39.24500167906844,66.6795271683745
21,3-Li-8,41.27800098410622,64.09516252610833
22,3-Li-8,40.297001790128654,66.95532114817946
23,3-Li-9,45.34199989840389,64.94944662278519
24,3-Li-10,45.31799964341336,67.97927474482357
25,3-Li-11,45.642001132957645,67.7116513969861
26,3-Li-12,44.41100091018528,74.99779292571172
27,4-Be-5,-0.7720002103224395,51.38366669179127
28,4-Be-6,26.924001124566423,59.680904398214075
29,4-Be-7,37.601001787668096,72.45203178553284
30,4-Be-8,56.50000160354935,68.52969881900027
31,4-Be-9,58.167001902051275,66.90429766059667
32,4-Be-10,64.97899681469053,68.27494851273298
33,4-Be-10,61.61100138946251,66.44161804998666
34,4-Be-10,58.79999935149402,75.40882414380833
35,4-Be-11,65.48299826383591,71.87893928499892
36,4-Be-12,68.65100067733974,72.02854933669418
37,4-Be-13,68.55000041793286,79.77062150277942
38,4-Be-14,69.92100277909265,75.35562130028009
39,4-Be-15,68.14299983663857,84.39148101203888
40,4-Be-16,68.31399725958332,80.68369353080169
41,5-B-6,0.9170001591851472,48.65650346157328
42,5-B-7,24.71800079515018,63.74803564847634
43,5-B-8,37.73800047673286,77.5003184560053
44,5-B-9,56.31599834673666,93.76935900362209
45,5-B-10,64.75299994654209,88.11011840513349
46,5-B-11,76.20599974114076,91.10644381158055
47,5-B-12,79.57700252134725,88.90613792834431
48,5-B-13,84.45500259823352,89.81884282471985
49,5-B-14,85.42600331332162,89.19774200289324
50,5-B-15,88.18799718210846,97.7322404888384
51,5-B-16,88.15200265810638,92.06755540614203
52,5-B-17,89.53300349815562,87.7174203354381
53,5-B-18,89.07500286321343,99.82329736758396
54,5-B-19,90.04600357830152,94.04571539786458
55,6-C-8,24.783000672071246,62.55358455283196
56,6-C-9,39.039001768698924,74.5582113635987
57,6-C-10,60.32200217781961,73.43489007167891
58,6-C-10,56.968000717381024,80.08885433868319
59,6-C-11,73.44099851737543,88.40174591361732
60,6-C-12,92.16300182297826,86.45519048875943
61,6-C-13,97.10999921551347,91.98031086651982
62,6-C-14,105.28599755408987,93.03694699103386
63,6-C-15,106.50499960219487,92.93532963800803
64,6-C-16,110.75500146908314,95.43786297961324
65,6-C-17,111.48300009059906,104.169456480667
66,6-C-18,115.66199713474884,99.75740114265308
67,6-C-19,116.24400234185532,112.92626489567012
68,6-C-20,119.17500174912065,107.04009788294881
69,6-C-21,118.80700304680691,107.43069470981509
70,6-C-22,119.57900278674812,113.87283963928373
71,7-N-10,36.43799903265574,84.98721069368348
72,7-N-11,58.68900061319769,80.11822487042099
73,7-N-12,74.04300068226084,101.88309337717668
74,7-N-13,94.10700294893235,124.27253873943538
75,7-N-14,104.66099888775871,120.66307223771513
76,7-N-14,96.17100144418329,130.2631898565516
77,7-N-14,95.69700324301795,122.56268167966232
78,7-N-14,95.53199709609524,134.82143389176576
79,7-N-15,115.49399925547094,127.15105394384265
80,7-N-16,117.98300340532884,127.11399708145858
81,7-N-17,123.86699887341634,138.28392275381088
82,7-N-18,126.69499832549691,151.74265647019448
83,7-N-19,132.01900086265803,150.64187081233413
84,7-N-20,134.18299976942689,152.0517188262418
85,7-N-21,138.77500429351628,145.80168529506028
86,7-N-22,140.05599691073596,138.35648983887583
