Z-XX-A-m,n,p,Svyazey,X,Y,Z,centrX,centrY,centrZ,Centrobeg,He4,He3,H3,H2,p,n,n1,n2,n3,n4,n5,n6,p1,p2,p3,p4,p5,p6,Binding
3-Li-13-p,10,3,15,5,5,5,5.461538462,5.461538462,2.076923077,12.64965107,1,0,1,0,0,6,6,3,1,0,0,0,0,0,1,0,0,2,
3-Li-14-p,11,3,16,5,6,5,5.428571429,5.357142857,2.142857143,14.08691821,1,0,1,0,0,7,7,3,1,0,0,0,0,0,0,1,0,2,
3-Li-15-p,12,3,17,6,6,5,5.333333333,5.333333333,2.2,15.48726143,1,0,1,0,0,8,8,3,1,0,0,0,0,0,0,0,1,2,
4-Be-17-p,13,4,21,7,8,6,5.411764706,5.470588235,2.294117647,18.09129239,2,0,0,0,0,9,9,0,4,0,0,0,0,0,0,1,1,2,
4-Be-18-p,14,4,22,8,8,6,5.5,5.5,2.333333333,19.72017845,2,0,0,0,0,10,10,0,4,0,0,0,0,0,0,0,2,2,
5-B-20-p,15,5,26,10,9,7,5.6,5.35,2.4,23.20713528,2,0,1,0,0,9,9,2,3,1,0,0,0,0,0,1,2,2,
5-B-21-p,16,5,27,10,10,7,5.619047619,5.238095238,2.428571429,25.49739517,2,0,1,0,0,10,10,2,3,1,0,0,0,0,0,0,3,2,
6-C-23-p,17,6,31,12,11,8,5.52173913,5.391304348,2.47826087,29.62162815,3,0,0,0,0,11,9,4,2,2,0,0,0,0,0,1,3,2,
6-C-24-p,18,6,32,12,12,8,5.5,5.5,2.5,32.22411631,3,0,0,0,0,12,10,4,2,2,0,0,0,0,0,0,4,2,
7-N-9-p,2,7,9,3,4,2,5.333333333,5.555555556,2.777777778,8.87609719,1,0,0,0,5,0,0,0,0,1,1,0,5,2,0,0,0,0,
7-N-26-p,19,7,37,14,14,9,5.346153846,5.538461538,2.538461538,36.17437077,3,0,1,0,0,11,8,7,2,1,1,0,0,0,0,0,5,2,
8-O-10-p,2,8,10,4,4,2,5.5,5.5,2.8,10.56719601,1,0,0,0,6,0,0,0,0,0,2,0,6,2,0,0,0,0,
8-O-11-p,3,8,12,5,5,2,5.454545455,5.363636364,2.818181818,12.07513156,1,0,0,1,5,0,0,1,0,0,2,0,5,2,1,0,0,0,
