,Z-XX-A-m,PredictedBinding
0,3-Li-13-p,70.25078854490071
1,3-Li-14-p,78.65258846883476
2,3-Li-15-p,90.24544979821145
3,4-Be-17-p,92.03942687295377
4,4-Be-18-p,86.82837590199709
5,5-B-20-p,97.26950619904697
6,5-B-21-p,105.38445913721621
7,6-C-23-p,122.99972456549482
8,6-C-24-p,122.42657738577947
9,7-N-9-p,71.76354277825355
10,7-N-26-p,164.23124090445788
11,8-O-10-p,69.11632051128149
12,8-O-11-p,80.6119856900163
13,9-F-13-p,96.06144779853895
14,9-F-32-p,266.3916831828356
15,10-Ne-14-p,85.18410261468962
16,10-Ne-15-p,110.34712602088601
17,10-Ne-35-p,246.88977508991957
18,10-Ne-36-p,234.41406369722637
19,11-Na-16-p,92.283553795401
20,11-Na-17-p,118.975188397564
21,11-Na-38-p,264.43316863986854
22,11-Na-39-p,254.70836686475576
23,11-Na-40-p,275.9635394761861
24,11-Na-41-p,264.93777937132126
25,11-Na-42-p,267.70492089447384
26,11-Na-43-p,277.5670767733306
27,11-Na-44-p,292.9327078854144
28,12-Mg-18-p,99.32681040022895
29,12-Mg-41-p,299.01465761289006
30,12-Mg-42-p,289.809214325592
31,12-Mg-43-p,310.1603682191819
32,12-Mg-44-p,299.6194406047166
33,12-Mg-45-p,314.91892552989725
34,12-Mg-46-p,309.24610106047993
35,13-Al-19-p,114.28742500417307
36,13-Al-20-p,113.87450344866141
37,13-Al-43-p,333.89910049626235
38,13-Al-44-p,324.6113884748519
39,13-Al-45-p,343.6141537544579
40,13-Al-46-p,332.7982679705322
41,13-Al-47-p,327.0391441302002
42,13-Al-48-p,340.2248881276548
43,14-Si-45-p,341.2390463395119
44,14-Si-46-p,332.18711094841365
45,14-Si-47-p,350.90413844850667
46,14-Si-48-p,340.95890145912773
47,14-Si-49-p,354.2296950176359
48,14-Si-50-p,350.3298820625395
49,15-P-23-p,170.81992604015022
50,15-P-47-p,355.8035180853308
51,15-P-48-p,373.7152618466169
52,15-P-49-p,363.8569491330833
53,15-P-50-p,376.31830333499613
54,15-P-51-p,372.07229304835204
55,15-P-52-p,385.68169134350126
56,16-S-50-p,371.9699648659677
57,16-S-51-p,383.9853556641639
58,16-S-52-p,379.9175057732314
59,16-S-53-p,392.9703949824423
60,16-S-54-p,387.10456862521175
61,17-Cl-52-p,397.2579302017242
62,17-Cl-53-p,393.16574026374525
63,17-Cl-54-p,406.142453561917
64,17-Cl-55-p,400.269284571752
65,17-Cl-56-p,405.85234144788984
66,17-Cl-57-p,404.89604943260554
67,18-Ar-54-p,409.24398171342915
68,18-Ar-55-p,422.0272869355828
69,18-Ar-56-p,416.1003448761404
70,18-Ar-57-p,421.70621078224485
71,18-Ar-58-p,425.3037884676606
72,18-Ar-59-p,432.7584043656737
73,18-Ar-60-p,431.8332326159329
74,19-K-56-p,453.01719731052225
75,19-K-57-p,443.8658395449669
76,19-K-58-p,455.04726346804205
77,19-K-59-p,450.20115697655086
78,19-K-60-p,462.5788988987506
79,19-K-61-p,456.18343436759716
80,19-K-62-p,462.10790805256374
81,20-Ca-58-p,451.6355325089843
82,20-Ca-59-p,466.9650753613264
83,20-Ca-60-p,458.3490424045623
84,20-Ca-61-p,469.659352969572
85,20-Ca-62-p,465.41781075318164
86,20-Ca-63-p,477.9581529383213
87,20-Ca-64-p,472.164909288779
88,21-Sc-61-p,492.5188127640635
89,21-Sc-62-p,509.5616262193621
90,21-Sc-63-p,499.41060803633934
91,21-Sc-64-p,494.48526359964916
92,21-Sc-65-p,508.0382017343194
93,21-Sc-66-p,501.5863707784266
94,21-Sc-67-p,505.3362377954275
95,21-Sc-68-p,513.1512363669128
96,21-Sc-69-p,512.3988508304806
97,21-Sc-70-p,525.1015745618344
98,21-Sc-71-p,528.420194686234
99,21-Sc-72-p,533.6014064467549
100,21-Sc-73-p,544.4621916499436
101,22-Ti-64-p,503.7790996893794
102,22-Ti-65-p,519.737140675664
103,22-Ti-66-p,510.75041411407295
104,23-V-66-p,559.9815181297064
105,23-V-67-p,549.4773036799132
106,23-V-68-p,567.9434943408668
107,23-V-69-p,557.2879279168844
108,24-Cr-68-p,565.5915396535993
109,24-Cr-69-p,584.064229325831
110,24-Cr-70-p,573.3829793092012
111,25-Mn-70-p,594.7736000643373
112,25-Mn-71-p,584.5269089364409
113,25-Mn-72-p,603.3805406543613
114,26-Fe-73-p,610.0337784693837
115,26-Fe-74-p,600.2795124267935
116,27-Co-47-p,355.34643137384955
117,27-Co-48-p,376.06902875818315
118,27-Co-49-p,398.44928020665054
119,27-Co-76-p,652.1073776362539
120,27-Co-77-p,646.7441935599446
121,28-Ni-79-p,671.5195493811369
122,28-Ni-80-p,666.7059067007899
123,29-Cu-81-p,691.5804974249602
124,30-Zn-84-p,710.4585004351735
125,31-Ga-87-p,738.8346834474206
126,32-Ge-90-p,761.0088100045324
127,33-As-93-p,799.5564455910326
128,33-As-94-p,795.6989074544907
129,34-Se-62-p,487.8762690537125
130,34-Se-63-p,512.851938150406
131,34-Se-64-p,522.3549924108983
132,34-Se-95-p,807.126543920219
133,34-Se-96-p,803.5839578686953
134,35-Br-64-p,510.9480715436191
135,35-Br-65-p,533.6211534425616
136,35-Br-66-p,541.0121540186406
137,35-Br-98-p,876.7929452783466
138,35-Br-99-p,872.7325630013347
139,36-Kr-66-p,522.6370744965673
140,36-Kr-67-p,544.4991235313415
141,36-Kr-68-p,551.4289442686438
142,36-Kr-101-p,872.8239241021872
143,36-Kr-102-p,869.4743086932302
144,37-Rb-68-p,529.6616308213472
145,37-Rb-69-p,550.2403750906586
146,37-Rb-70-p,556.5104212022424
147,37-Rb-102-p,869.1087393088341
148,37-Rb-103-p,878.5980456608535
149,37-Rb-104-p,895.5089729305506
150,37-Rb-105-p,891.7889138787389
151,38-Sr-70-p,543.8549715288877
152,38-Sr-71-p,562.3955258765817
153,38-Sr-72-p,567.644727293551
154,38-Sr-106-p,915.3893234494329
155,38-Sr-107-p,931.9581777601243
156,38-Sr-108-p,928.4547107572556
157,39-Y-72-p,565.6855253551603
158,39-Y-73-p,579.5346684269309
159,39-Y-74-p,583.107249915123
160,39-Y-75-p,591.5770863633752
161,39-Y-109-p,943.9979710958601
162,39-Y-110-p,958.8088428558111
163,39-Y-111-p,956.3539663264752
164,40-Zr-76-p,585.8184624469876
165,40-Zr-77-p,594.2912984389067
166,40-Zr-111-p,954.9922984827161
167,40-Zr-112-p,952.790758412242
168,41-Nb-80-p,612.255627950102
169,41-Nb-114-p,975.306458004415
170,41-Nb-115-p,967.8065989894271
171,42-Mo-82-p,632.4791762568652
172,42-Mo-116-p,988.2308667598963
173,42-Mo-117-p,981.2380556055904
174,44-Ru-86-p,673.0095726976394
175,44-Ru-121-p,1017.6987586858869
176,44-Ru-122-p,1021.190102533102
177,45-Rh-88-p,675.5968040912747
178,45-Rh-123-p,1025.9522530471684
179,45-Rh-124-p,1033.3660001627206
180,45-Rh-125-p,1037.3213984113931
181,46-Pd-90-p,712.2743491824865
182,46-Pd-125-p,1057.5526955392959
183,46-Pd-126-p,1054.6323898176552
184,47-Ag-92-p,720.9485295430422
185,47-Ag-131-p,1080.9538854181171
186,48-Cd-94-p,731.3736935191155
187,48-Cd-133-p,1110.560256276727
188,48-Cd-134-p,1108.0102692169548
189,49-In-96-p,745.6436475711465
190,49-In-136-p,1142.1112062983514
191,49-In-137-p,1139.403493234098
192,50-Sn-98-p,751.0153303545118
193,50-Sn-138-p,1137.3394322483541
194,50-Sn-139-p,1151.6425062617066
195,50-Sn-140-p,1149.1040174526574
196,51-Sb-100-p,761.8560561094284
197,51-Sb-101-p,856.1795812758803
198,51-Sb-102-p,875.3775356105566
199,51-Sb-140-p,1160.1510868156554
200,51-Sb-141-p,1173.657906966448
201,51-Sb-142-p,1171.0226828741434
202,52-Te-104-p,879.6490107731223
203,52-Te-143-p,1174.9515851537587
204,52-Te-144-p,1171.5206071228386
205,53-I-106-p,866.0683268595338
206,53-I-107-p,912.3046677310467
207,53-I-145-p,1194.1892834420205
208,53-I-146-p,1207.7183502083421
209,53-I-147-p,1204.170015031457
210,54-Xe-108-p,919.6283035556079
211,54-Xe-109-p,931.8205736944079
212,54-Xe-148-p,1222.199147183955
213,54-Xe-149-p,1235.2709085220697
214,54-Xe-150-p,1231.894047258139
215,55-Cs-110-p,921.7029879251719
216,55-Cs-111-p,933.1907402452231
217,55-Cs-152-p,1261.1475967929366
218,55-Cs-153-p,1256.6309089356066
219,56-Ba-112-p,936.9147986885905
